driverId,year,points,wins,age,normalized_points,races_in_season,points_per_race,normalized_points_per_race,age_group
8,2018,251.0,1,38.209445585215605,10.04,21,11.952380952380953,0.4780952380952381,35–40
8,2019,43.0,0,39.20876112251882,1.72,21,2.0476190476190474,0.0819047619047619,35–40
8,2020,4.0,0,40.20807665982204,0.16,17,0.23529411764705882,0.009411764705882354,40+
8,2021,10.0,0,41.210130047912386,0.4,22,0.45454545454545453,0.018181818181818184,40+
9,2006,6.0,0,21.06776180698152,0.6,18,0.3333333333333333,0.03333333333333333,<25
9,2007,39.0,0,22.067077344284737,3.9,17,2.2941176470588234,0.22941176470588234,<25
9,2008,75.0,1,23.066392881587955,7.5,18,4.166666666666667,0.4166666666666667,<25
9,2009,17.0,0,24.0684462696783,1.7,17,1.0,0.09999999999999999,<25
9,2010,136.0,0,25.06776180698152,5.44,19,7.157894736842105,0.28631578947368425,25–30
9,2019,1.0,0,34.06707734428473,0.04,21,0.047619047619047616,0.0019047619047619048,30–35
9,2021,0.0,0,36.068446269678304,0.0,22,0.0,0.0,35–40
10,2004,2.0,0,21.790554414784395,0.2,18,0.1111111111111111,0.011111111111111112,<25
10,2008,25.0,0,25.790554414784395,2.5,18,1.3888888888888888,0.1388888888888889,25–30
10,2009,24.0,0,26.792607802874745,2.4,17,1.411764705882353,0.1411764705882353,25–30
10,2010,0.0,0,27.79192334017796,0.0,19,0.0,0.0,25–30
10,2011,0.0,0,28.79123887748118,0.0,19,0.0,0.0,25–30
10,2012,0.0,0,29.790554414784395,0.0,20,0.0,0.0,25–30
11,2002,2.0,0,24.92539356605065,0.2,17,0.11764705882352941,0.011764705882352941,<25
11,2003,3.0,0,25.924709103353866,0.3,16,0.1875,0.01875,25–30
11,2004,34.0,0,26.924024640657084,3.4,18,1.8888888888888888,0.18888888888888888,25–30
11,2005,1.0,0,27.926078028747433,0.1,19,0.05263157894736842,0.005263157894736842,25–30
11,2006,0.0,0,28.925393566050655,0.0,18,0.0,0.0,25–30
11,2007,4.0,0,29.924709103353866,0.4,17,0.23529411764705882,0.023529411764705882,25–30
11,2008,0.0,0,30.924024640657084,0.0,18,0.0,0.0,30–35
12,2008,19.0,0,22.43668720054757,1.9,18,1.0555555555555556,0.10555555555555556,<25
